"emoji=阿森松岛,",阿森松岛
"emoji=哥斯达黎加,",哥斯达黎加
"emoji=古巴,",古巴
"emoji=佛得角,",佛得角
"emoji=库拉索,",库拉索
"emoji=圣诞岛,",圣诞岛
"emoji=塞浦路斯,",塞浦路斯
"emoji=捷克,",捷克
"emoji=德国,",德国
"emoji=迪戈加西亚岛,",迪戈加西亚岛
"emoji=吉布提,",吉布提
"emoji=丹麦,",丹麦
"emoji=多米尼克,",多米尼克
"emoji=多米尼加,",多米尼加
"emoji=阿尔及利亚,",阿尔及利亚
"emoji=休达及梅利利亚,",休达及梅利利亚
"emoji=厄瓜多尔,",厄瓜多尔
"emoji=爱沙尼亚,",爱沙尼亚
"emoji=埃及,",埃及
"emoji=西撒哈拉,",西撒哈拉
"emoji=厄立特里亚,",厄立特里亚
"emoji=西班牙,",西班牙
"emoji=埃塞俄比亚,",埃塞俄比亚
"emoji=欧盟,",欧盟
"emoji=欧洲,",欧洲
"emoji=欧州,",欧州
"emoji=芬兰,",芬兰
"emoji=斐济,",斐济
"emoji=福克兰,",福克兰
"emoji=密克罗尼西亚,",密克罗尼西亚
"emoji=法罗,",法罗
"emoji=法国,",法国
"emoji=加蓬,",加蓬
"emoji=英国,",英国
"emoji=格林纳达,",格林纳达
"emoji=格鲁吉亚,",格鲁吉亚
"emoji=法属圭亚那,",法属圭亚那
"emoji=根西岛,",根西岛
"emoji=加纳,",加纳
"emoji=直布罗陀,",直布罗陀
"emoji=格陵兰,",格陵兰
"emoji=冈比亚,",冈比亚
"emoji=几内亚,",几内亚
"emoji=瓜德罗普,",瓜德罗普
"emoji=赤道几内亚,",赤道几内亚
"emoji=希腊,",希腊
"emoji=南乔治亚和南桑威奇,",南乔治亚和南桑威奇
"emoji=危地马拉,",危地马拉
"emoji=关岛,",关岛
"emoji=几内亚比绍,",几内亚比绍
"emoji=圭亚那,",圭亚那
"emoji=香港,",香港
"emoji=赫德岛和麦克唐纳,",赫德岛和麦克唐纳
"emoji=洪都拉斯,",洪都拉斯
"emoji=克罗地亚,",克罗地亚
"emoji=海地,",海地
"emoji=匈牙利,",匈牙利
"emoji=加纳利,",加纳利
"emoji=印度尼西亚,",印度尼西亚
"emoji=爱尔兰,",爱尔兰
"emoji=以色列,",以色列
"emoji=马恩岛,",马恩岛
"emoji=印度,",印度
"emoji=英属印度洋领地,",英属印度洋领地
"emoji=伊拉克,",伊拉克
"emoji=伊朗,",伊朗
"emoji=冰岛,",冰岛
"emoji=意大利,",意大利
"emoji=泽西岛,",泽西岛
"emoji=牙买加,",牙买加
"emoji=约旦,",约旦
"emoji=日本,",日本
"emoji=肯尼亚,",肯尼亚
"emoji=吉尔吉斯斯坦,",吉尔吉斯斯坦
"emoji=柬埔寨,",柬埔寨
"emoji=基里巴斯,",基里巴斯
"emoji=科摩罗,",科摩罗
"emoji=圣基茨和尼维斯,",圣基茨和尼维斯
"emoji=朝鲜,",朝鲜
"emoji=韩国,",韩国
"emoji=科威特,",科威特
"emoji=开曼,",开曼
"emoji=哈萨克斯坦,",哈萨克斯坦
"emoji=老挝,",老挝
"emoji=黎巴嫩,",黎巴嫩
"emoji=圣卢西亚,",圣卢西亚
"emoji=列支敦士登,",列支敦士登
"emoji=斯里兰卡,",斯里兰卡
"emoji=利比里亚,",利比里亚
"emoji=莱索托,",莱索托
"emoji=立陶宛,",立陶宛
"emoji=卢森堡,",卢森堡
"emoji=拉脱维亚,",拉脱维亚
"emoji=利比亚,",利比亚
"emoji=摩洛哥,",摩洛哥
"emoji=摩纳哥,",摩纳哥
"emoji=摩尔多瓦,",摩尔多瓦
"emoji=黑山,",黑山
"emoji=法属圣马丁,",法属圣马丁
"emoji=马达加斯加,",马达加斯加
"emoji=马绍尔,",马绍尔
"emoji=北马其顿,",北马其顿
"emoji=马里,",马里
"emoji=缅甸,",缅甸
"emoji=蒙古,",蒙古
"emoji=澳门,",澳门
"emoji=北马里亚纳,",北马里亚纳
"emoji=马提尼克,",马提尼克
"emoji=毛里塔尼亚,",毛里塔尼亚
"emoji=蒙特塞拉特,",蒙特塞拉特
"emoji=马耳他,",马耳他
"emoji=毛里求斯,",毛里求斯
"emoji=马尔代夫,",马尔代夫
"emoji=马拉维,",马拉维
"emoji=墨西哥,",墨西哥
"emoji=马来西亚,",马来西亚
"emoji=莫桑比克,",莫桑比克
"emoji=纳米比亚,",纳米比亚
"emoji=新喀里多尼亚,",新喀里多尼亚
"emoji=尼日尔,",尼日尔
"emoji=诺福克岛,",诺福克岛
"emoji=尼日利亚,",尼日利亚
"emoji=尼加拉瓜,",尼加拉瓜
"emoji=荷兰,",荷兰
"emoji=挪威,",挪威
"emoji=尼泊尔,",尼泊尔
"emoji=瑙鲁,",瑙鲁
"emoji=纽埃,",纽埃
"emoji=新西兰,",新西兰
"emoji=阿曼,",阿曼
"emoji=巴拿马,",巴拿马
"emoji=秘鲁,",秘鲁
"emoji=法属波利尼西亚,",法属波利尼西亚
"emoji=巴布亚新几内亚,",巴布亚新几内亚
"emoji=菲律宾,",菲律宾
"emoji=巴基斯坦,",巴基斯坦
"emoji=波兰,",波兰
"emoji=圣皮埃尔和密克隆,",圣皮埃尔和密克隆
"emoji=皮特凯恩,",皮特凯恩
"emoji=波多黎各,",波多黎各
"emoji=巴勒斯坦领土,",巴勒斯坦领土
"emoji=葡萄牙,",葡萄牙
"emoji=帕劳,",帕劳
"emoji=巴拉圭,",巴拉圭
"emoji=卡塔尔,",卡塔尔
"emoji=留尼汪,",留尼汪
"emoji=罗马尼亚,",罗马尼亚
"emoji=塞尔维亚,",塞尔维亚
"emoji=俄罗斯,",俄罗斯
"emoji=卢旺达,",卢旺达
"emoji=沙特,",沙特
"emoji=所罗门,",所罗门
"emoji=塞舌尔,",塞舌尔
"emoji=苏丹,",苏丹
"emoji=瑞典,",瑞典
"emoji=新加坡,",新加坡
"emoji=圣赫勒拿,",圣赫勒拿
"emoji=斯洛文尼亚,",斯洛文尼亚
"emoji=斯瓦尔巴和扬马延,",斯瓦尔巴和扬马延
"emoji=斯洛伐克,",斯洛伐克
"emoji=塞拉利昂,",塞拉利昂
"emoji=圣马力诺,",圣马力诺
"emoji=塞内加尔,",塞内加尔
"emoji=索马里,",索马里
"emoji=苏里南,",苏里南
"emoji=南苏丹,",南苏丹
"emoji=圣多美和普林西比,",圣多美和普林西比
"emoji=萨尔瓦多,",萨尔瓦多
"emoji=荷属圣马丁,",荷属圣马丁
"emoji=叙利亚,",叙利亚
"emoji=斯威士兰,",斯威士兰
"emoji=特里斯坦-达库尼亚,",特里斯坦-达库尼亚
"emoji=特克斯和凯科斯,",特克斯和凯科斯
"emoji=乍得,",乍得
"emoji=法属南部领地,",法属南部领地
"emoji=多哥,",多哥
"emoji=泰国,",泰国
"emoji=塔吉克斯坦,",塔吉克斯坦
"emoji=托克劳,",托克劳
"emoji=东帝汶,",东帝汶
"emoji=土库曼斯坦,",土库曼斯坦
"emoji=突尼斯,",突尼斯
"emoji=汤加,",汤加
"emoji=土耳其,",土耳其
"emoji=特立尼达和多巴哥,",特立尼达和多巴哥
"emoji=图瓦卢,",图瓦卢
"emoji=台湾,",台湾
"emoji=坦桑尼亚,",坦桑尼亚
"emoji=乌克兰,",乌克兰
"emoji=乌干达,",乌干达
"emoji=美国本土外小岛屿,",美国本土外小岛屿
"emoji=联合国,",联合国
"emoji=美国,",美国
"emoji=美州,",美州
"emoji=美洲,",美洲
"emoji=乌兹别克斯坦,",乌兹别克斯坦
"emoji=梵蒂冈,",梵蒂冈
"emoji=圣文森特和格林纳丁斯,",圣文森特和格林纳丁斯
"emoji=委内瑞拉,",委内瑞拉
"emoji=维尔京,",维尔京
"emoji=维京,",维京
"emoji=越南,",越南
"emoji=瓦努阿图,",瓦努阿图
"emoji=瓦利斯和富图纳,",瓦利斯和富图纳
"emoji=萨摩亚,",萨摩亚
"emoji=科索沃,",科索沃
"emoji=也门,",也门
"emoji=马约特,",马约特
"emoji=南非,",南非
"emoji=赞比亚,",赞比亚
"emoji=津巴布韦,",津巴布韦
